trial,before_ms,after_ms,delta_ms
0,88.46160513348877,71.74354698508978,16.718058148398995
1,75.42261015623808,71.14554313011467,4.2770670261234045
2,73.82317585870624,73.09661083854735,0.7265650201588869
3,75.42582601308823,72.89836998097599,2.527456032112241
4,76.51837798766792,73.06289882399142,3.4554791636765003
5,83.67277518846095,75.84422896616161,7.828546222299337
6,76.29091991111636,76.75047498196363,-0.4595550708472729
7,80.81584400497377,74.51321184635162,6.302632158622146
8,76.3263120315969,71.88493991270661,4.4413721188902855
9,84.64082889258862,71.56330486759543,13.077524024993181
10,76.20376697741449,72.00310099869967,4.200665978714824
11,73.38168588466942,70.98765391856432,2.3940319661051035
12,85.75656497851014,71.43788109533489,14.318683883175254
13,74.4598840828985,72.41278421133757,2.047099871560931
14,73.52335099130869,72.19814090058208,1.325210090726614
15,73.75707989558578,71.28880801610649,2.468271879479289
16,73.53894994594157,77.85541098564863,-4.316461039707065
17,84.965487010777,72.48139195144176,12.484095059335232
18,73.82272789254785,72.53612787462771,1.2866000179201365
19,74.36569198034704,71.95004494860768,2.415647031739354
20,73.48898192867637,72.64142506755888,0.8475568611174822
21,75.1075039152056,72.19891087152064,2.9085930436849594
22,74.36330802738667,73.51232692599297,0.8509811013936996
23,74.05522605404258,71.77754794247448,2.2776781115680933
24,74.26989893428981,71.91134104505181,2.358557889238
25,73.62479204311967,71.64844195358455,1.9763500895351171
26,76.88862108625472,72.73236894980073,4.156252136453986
27,75.19313786178827,72.81757099553943,2.375566866248846
28,73.46869516186416,73.60309478826821,-0.134399626404047
29,75.51294681616127,72.431008098647,3.0819387175142765
30,76.41986501403153,72.29625503532588,4.123609978705645
31,73.96989688277245,73.50403908640146,0.4658577963709831
32,74.78374289348722,72.84481800161302,1.9389248918741941
33,75.7578609045595,72.45875196531415,3.299108939245343
34,73.9371299277991,72.73120200261474,1.205927925184369
35,74.6397259645164,74.99649608507752,-0.3567701205611229
36,78.92378605902195,73.1860208325088,5.737765226513147
37,83.9315289631486,72.84155394881964,11.089975014328957
38,75.90611791238189,72.31067214161158,3.5954457707703114
39,75.56433998979628,73.72242398560047,1.8419160041958094
40,74.7166380751878,72.28359882719815,2.4330392479896545
41,74.95230389758945,73.11214902438223,1.8401548732072115
42,74.03370714746416,72.60899408720434,1.424713060259819
43,74.11151519045234,72.38487992435694,1.7266352660953999
44,86.30530489608645,72.91475497186184,13.390549924224615
45,74.69126209616661,78.05331703275442,-3.3620549365878105
46,75.77600586228073,72.22063816152513,3.555367700755596
47,74.05685912817717,74.13873099721968,-0.08187186904251575
48,75.27686608955264,73.45685502514243,1.8200110644102097
49,76.44991390407085,72.46056012809277,3.9893537759780884
