trial,before_ms,after_ms,delta_ms
0,169.48354803025723,74.89041914232075,94.59312888793647
1,75.23216493427753,75.1555091701448,0.07665576413273811
2,75.68631204776466,73.0911900755018,2.5951219722628593
3,74.7425458393991,72.99895002506673,1.743595814332366
4,86.80786099284887,73.22837482206523,13.579486170783639
5,75.16808505170047,72.05303898081183,3.1150460708886385
6,74.89840313792229,74.75454499945045,0.1438581384718418
7,77.45024492032826,74.97707498259842,2.4731699377298355
8,74.71240195445716,78.47708300687373,-3.764681052416563
9,76.4406849630177,74.23991896212101,2.2007660008966923
10,75.05752402357757,72.42862600833178,2.6288980152457952
11,74.02599696069956,72.82771705649793,1.1982799042016268
12,74.19321406632662,74.66676901094615,-0.4735549446195364
13,76.19676413014531,74.75805003196001,1.4387140981853008
14,76.83923305012286,75.4079578910023,1.4312751591205597
15,77.46987696737051,75.28542913496494,2.184447832405567
16,76.80609682574868,74.96353890746832,1.842557918280363
17,75.98423399031162,73.79581988789141,2.188414102420211
18,78.54193192906678,76.29383681342006,2.24809511564672
19,76.70963113196194,72.96923687681556,3.7403942551463842
20,75.02258010208607,72.75157188996673,2.271008212119341
21,75.87145012803376,73.66417115554214,2.207278972491622
22,75.09808405302465,73.56349797919393,1.5345860738307238
23,75.25634183548391,72.39510584622622,2.8612359892576933
24,76.25892385840416,72.47790601104498,3.7810178473591805
25,75.73287189006805,74.6726889628917,1.0601829271763563
26,75.74370503425598,74.92841919884086,0.8152858354151249
27,75.24802186526358,76.0448588989675,-0.7968370337039232
28,80.88380401022732,73.63239512778819,7.2514088824391365
29,75.43530291877687,72.71726801991463,2.7180348988622427
30,75.92002605088055,73.48693697713315,2.4330890737473965
31,75.36654989235103,74.75537806749344,0.6111718248575926
32,74.62824089452624,73.25522392056882,1.3730169739574194
33,75.83279395475984,73.66015505976975,2.1726388949900866
34,86.06444811448455,74.4110879022628,11.653360212221742
35,75.31658210791647,72.86408497020602,2.452497137710452
36,87.31426391750574,75.56631206534803,11.747951852157712
37,76.9038088619709,77.12112204171717,-0.21731317974627018
38,77.71088602021337,75.02102782018483,2.6898582000285387
39,77.12929882109165,74.22467111609876,2.9046277049928904
40,77.35758787021041,74.9499078374356,2.407680032774806
41,75.88740182109177,76.15374005399644,-0.2663382329046726
42,77.05040206201375,75.11798897758126,1.9324130844324827
43,86.9425660930574,73.7868279684335,13.155738124623895
44,76.80025696754456,73.7635469995439,3.0367099680006504
45,77.39125308580697,74.64604894630611,2.7452041395008564
46,75.76818601228297,79.376386012882,-3.6082000005990267
47,79.02556797489524,74.60532896220684,4.420239012688398
48,78.53775611147285,73.98423692211509,4.553519189357758
49,77.06907391548157,74.03580588288605,3.0332680325955153
