match_frac,trial,latency_ms
0.0,0,1113.3641509804875
0.0,1,945.7297679036856
0.0,2,895.0792169198394
0.0,3,898.5250010155141
0.0,4,904.3973931111395
0.0,5,887.2446049936116
0.0,6,872.6252738852054
0.0,7,887.9468329250813
0.0,8,864.5033319480717
0.0,9,883.1514888443053
0.0,10,879.9779808614403
0.0,11,876.1705139186233
0.0,12,889.2668280750513
0.0,13,877.7320620138198
0.0,14,890.9798800013959
0.0,15,872.0223112031817
0.0,16,855.480887927115
0.0,17,869.7334639728069
0.0,18,863.5620789136738
0.0,19,864.4491881132126
0.0,20,878.1883388292044
0.0,21,895.4697190783918
0.0,22,870.4960150644183
0.0,23,875.1618219539523
0.0,24,863.7057130690664
0.0,25,863.880786113441
0.0,26,862.0225170161575
0.0,27,847.3368349950761
0.0,28,858.0453868489712
0.0,29,874.655419960618
0.0,30,861.4814260508865
0.0,31,865.8989130053669
0.0,32,876.8841559067369
0.0,33,859.2460518702865
0.0,34,870.5875370651484
0.0,35,887.8656069282442
0.0,36,885.9861860983074
0.0,37,897.4816249683499
0.0,38,888.307929970324
0.0,39,852.6476889383048
0.0,40,864.014389924705
0.0,41,888.4561560116708
0.0,42,877.4830740876496
0.0,43,907.2134359739721
0.0,44,861.7969669867307
0.0,45,892.2734470106661
0.0,46,882.9973360989243
0.0,47,857.9963671509176
0.0,48,864.737228024751
0.0,49,853.5954728722572
0.0,50,870.9695739671588
0.0,51,869.4231000263244
0.0,52,875.3652370069176
0.0,53,893.2179659605026
0.0,54,882.1024510543793
0.0,55,873.3882319647819
0.0,56,879.7838280443102
0.0,57,880.771545926109
0.0,58,873.4122968744487
0.0,59,867.919459939003
0.0,60,887.3750159982592
0.0,61,870.0550431385636
0.0,62,893.4546730015427
0.0,63,887.5749381259084
0.0,64,869.9220030102879
0.0,65,888.8069940730929
0.0,66,874.130479991436
0.0,67,892.463596072048
0.0,68,856.9023299496621
0.0,69,866.4808759931475
0.0,70,892.1068420168012
0.0,71,870.9784420207143
0.0,72,858.5346140898764
0.0,73,878.4377099946141
0.0,74,903.8972740527242
0.0,75,862.9598449915648
0.0,76,883.8224669452757
0.0,77,881.623380118981
0.0,78,860.6886139605194
0.0,79,864.0407170169055
0.0,80,850.9577480144799
0.0,81,879.0885789785534
0.0,82,858.5168719291687
0.0,83,858.6142810527235
0.0,84,891.3347590714693
0.0,85,891.0062131471932
0.0,86,906.5833589993417
0.0,87,876.8042768351734
0.0,88,882.054328918457
0.0,89,886.5902801044285
