wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,trial,probed_digit,ground_truth_pin,ground_truth_digit1
0.08846181398257613,0.0847818860784173,181,179,179,0,1,7640a9ea42d94e36b7d18b9420bdd536,1098,0,0,394001,3
0.08900821814313531,0.08557129907421768,181,179,179,0,1,a6565a401ff34063a7f669f9ecbdca71,1098,0,1,394001,3
0.08760870480909944,0.08411479415372014,181,179,179,0,1,7a2f2f6763364e90a1cae204172edfda,1098,0,2,394001,3
0.0875819530338049,0.08445762796327472,181,179,179,0,1,4913a45121924278ba23f17ad54cdb25,1098,0,3,394001,3
0.08973267115652561,0.08620986388996243,181,179,179,0,1,fafd7b9f46ae4e1ba2e19ed1a12d329d,1098,0,4,394001,3
0.08875165693461895,0.08485948690213263,181,179,179,0,1,6d3e68e9360a463585aaf34e6ed4073c,1098,0,5,394001,3
0.08747060899622738,0.08416956290602684,181,179,179,0,1,37324bfa5b694bb38c254ab810b22ba7,1098,0,6,394001,3
0.08850461593829095,0.08543291594833136,181,179,179,0,1,68550430921e4c259d6e5a015f83e544,1098,0,7,394001,3
0.08882420300506055,0.0853664840105921,181,179,179,0,1,e89b8161c530482582e1570be6c27946,1098,0,8,394001,3
0.08906417293474078,0.08544288505800068,181,179,179,0,1,88fd3d6045b6424b83def8ef31f86562,1098,0,9,394001,3
0.07740049390122294,0.0735767399892211,181,179,179,0,1,417fdfc6e58445f2a8f6157dfa486c43,1098,1,0,280189,2
0.07794403401203454,0.07428879290819168,181,179,179,0,1,fbdbf5cab5094dad9b1150e77160f758,1098,1,1,280189,2
0.07855459908023477,0.07518711895681918,181,179,179,0,1,83cef272a2af429c935947cdb6ac6127,1098,1,2,280189,2
0.07672818680293858,0.07333238702267408,181,179,179,0,1,12c4b4303b2048e4918642f59fed0271,1098,1,3,280189,2
0.07831691787578166,0.07500249496661127,181,179,179,0,1,0347a9cf1fe740ebb7c2e3e817b89b1c,1098,1,4,280189,2
0.0772753581404686,0.0738481511361897,181,179,179,0,1,0a8eeea1baf141aea5c8df2875db11fc,1098,1,5,280189,2
0.07807882013730705,0.07455452508293092,181,179,179,0,1,728a7ed35e754f459eaf83752079d674,1098,1,6,280189,2
0.07734447997063398,0.07399285701103508,181,179,179,0,1,e829eeee180545718a24cbd3cc73b596,1098,1,7,280189,2
0.07793946005403996,0.07458918099291623,181,179,179,0,1,ad9e3ac3a8324385a5c15b5d601eb257,1098,1,8,280189,2
0.07669897191226482,0.07358896709047258,181,179,179,0,1,ad1c2478637b4c048501294aa541decc,1098,1,9,280189,2
0.07723425491712987,0.07371579995378852,181,179,179,0,1,cdf4132df09349c6b6deceb550409394,1098,2,0,061840,0
0.07700918312184513,0.0736081509385258,181,179,179,0,1,ffd05f04c51444a7a8695609d982758d,1098,2,1,061840,0
0.07778142904862761,0.07408914691768587,181,179,179,0,1,ff746503171a49da9105a1e2a52abac8,1098,2,2,061840,0
