wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,condition,trial
0.08031884883530438,0.07663833117112517,300,299,299,0,1,a2e13e502cfe4fc0a839e71d8e90bd30,2007,repeat,0
0.08219830016605556,0.07855814998038113,300,299,299,0,1,24d25e0cd4404c1f8360e385a3a2fc2c,2007,repeat,1
0.07996143796481192,0.07653362583369017,300,299,299,0,1,b2b151e276514f2291263013d1639b59,2007,repeat,2
0.0932702380232513,0.08943491894751787,300,299,299,0,1,09b1b4be9b284511ab2d790cf4e1d4e7,2007,repeat,3
0.08131952700205147,0.07771742506884038,300,299,299,0,1,78a1359fe3d747c785d07eda162b2ea9,2007,repeat,4
0.08018316701054573,0.07658301806077361,300,299,299,0,1,975cb8de2a87420896907ddbfb5d5551,2007,repeat,5
0.07993234996683896,0.07639045687392354,300,299,299,0,1,2f9108addf0541d282478668b109716e,2007,repeat,6
0.08105776505544782,0.07766502490267158,300,299,299,0,1,3fe8fc259aad4a98a1f66c926ccf7474,2007,repeat,7
0.09041540394537151,0.08695493591949344,300,299,299,0,1,3107b92df9f8473d8977cdef847e40af,2007,repeat,8
0.08199508208781481,0.07830059598200023,300,299,299,0,1,2e1eb09fa6604370b8765a2cdc15b6d4,2007,repeat,9
0.0855573748704046,0.0819790328387171,310,265,265,0,1,cbcfb3c561a040529afd96011d5013ad,2084,modified,0
0.08648061193525791,0.08294631890021265,310,265,265,0,1,85226e5fdbfc4b5183a90fc65ec2aa71,2084,modified,1
0.0843599271029234,0.08158954279497266,310,265,265,0,1,9bd6e9eb5b464e24ae9378cc55194fc3,2084,modified,2
0.08580724918283522,0.08256921311840415,310,265,265,0,1,80ad96642aba4a9b8e0f68a390289526,2084,modified,3
0.08562665502540767,0.08216037903912365,310,265,265,0,1,62afa20ac7174a9998a099881e83c749,2084,modified,4
0.0856820319313556,0.08234172314405441,310,265,265,0,1,95b5f7d457d8452cac1ddf22b00e10be,2084,modified,5
0.08471416891552508,0.0813574930652976,310,265,265,0,1,0e98767ff90f40338e04655d6404d76d,2084,modified,6
0.08523514913395047,0.08234268403612077,310,265,265,0,1,180447692eed4e5b993ec5c6d78ce7c4,2084,modified,7
0.0860915700905025,0.08228788198903203,310,265,265,0,1,33c85401e158430c97706e17bec8d8f8,2084,modified,8
0.11387844011187553,0.11060395580716431,310,265,265,0,1,e513a8fca51b476687c4b7965ad9af5d,2084,modified,9
