candidate,trial_batch,ttft_mean_ms,ttft_stdev_ms,predicted,confidence,ground_truth_match,tenant,timestamp,secret_category
no,1,79.43492685444653,0.0,miss,0.0,N/A_before,attacker_before,1786410489.72383,low_entropy
no,3,72.23371664683025,0.6115824917105012,miss,0.0,N/A_before,attacker_before,1786410489.9408631,low_entropy
no,5,71.74295298755169,0.7513973104002153,miss,0.0,N/A_before,attacker_before,1786410490.3000102,low_entropy
no,10,71.48689676541835,0.7505851057584914,miss,0.0,N/A_before,attacker_before,1786410491.01566,low_entropy
no,1,71.023590862751,0.0,miss,0.0,False,attacker_after,1786410491.1579428,low_entropy
no,3,70.88830997236073,0.1334345146002232,miss,0.0,False,attacker_after,1786410491.370927,low_entropy
no,5,73.20898175239563,2.5423973839391367,miss,0.0,False,attacker_after,1786410491.7374456,low_entropy
no,10,71.24053197912872,0.5488873306414526,miss,0.0,False,attacker_after,1786410492.450869,low_entropy
yes,1,71.77486084401608,0.0,miss,0.0,N/A_before,attacker_before,1786410493.2565117,low_entropy
yes,3,72.60792741241555,0.7548333252690513,miss,0.0,N/A_before,attacker_before,1786410493.4749098,low_entropy
yes,5,73.69666802696884,2.0066766079026745,miss,0.0,N/A_before,attacker_before,1786410493.8441637,low_entropy
yes,10,71.68910594191402,0.391196155749471,miss,0.0,N/A_before,attacker_before,1786410494.5623076,low_entropy
yes,1,71.50719407945871,0.0,miss,0.0,False,attacker_after,1786410494.7058008,low_entropy
yes,3,71.74841772454481,0.298161479828214,miss,0.0,False,attacker_after,1786410494.9216514,low_entropy
yes,5,71.66072805412114,0.30049249769836645,miss,0.0,False,attacker_after,1786410495.2807267,low_entropy
yes,10,73.20963137317449,1.8798596736348303,miss,0.0,False,attacker_after,1786410496.0141094,low_entropy
yes,1,70.50976390019059,0.0,hit,1.0,N/A_before,attacker_before,1786410496.8171833,low_entropy
yes,3,71.20469127160807,0.3360762373924731,miss,0.0,N/A_before,attacker_before,1786410497.031318,low_entropy
yes,5,70.97915555350482,0.2744388839042233,miss,0.0,N/A_before,attacker_before,1786410497.386979,low_entropy
yes,10,71.75379318650812,1.6219825172338778,miss,0.1,N/A_before,attacker_before,1786410498.1058679,low_entropy
yes,1,70.54864405654371,0.0,hit,1.0,True,attacker_after,1786410498.247646,low_entropy
yes,3,71.03573499868314,0.29406401029752477,miss,0.0,False,attacker_after,1786410498.4613328,low_entropy
yes,5,71.17960159666836,0.496401891182886,miss,0.0,False,attacker_after,1786410498.817997,low_entropy
yes,10,71.58848952967674,0.4696038917117963,miss,0.0,False,attacker_after,1786410499.5351865,low_entropy
false,1,79.47899191640317,0.0,miss,0.0,N/A_before,attacker_before,1786410500.3474271,low_entropy
false,3,71.87108462676406,0.44129209150685006,miss,0.0,N/A_before,attacker_before,1786410500.5636432,low_entropy
false,5,71.33352933451533,0.7456190753351727,miss,0.0,N/A_before,attacker_before,1786410500.9210606,low_entropy
false,10,73.0429325485602,2.313779956504939,miss,0.0,N/A_before,attacker_before,1786410501.6542282,low_entropy
false,1,71.62138703279197,0.0,miss,0.0,False,attacker_after,1786410501.797896,low_entropy
false,3,72.2216103070726,0.33278711379371034,miss,0.0,False,attacker_after,1786410502.015107,low_entropy
false,5,73.95732593722641,2.4921108950293367,miss,0.0,False,attacker_after,1786410502.3857443,low_entropy
false,10,71.67861976195127,0.7213860854432834,miss,0.0,False,attacker_after,1786410503.1037626,low_entropy
no,1,73.39567085728049,0.0,miss,0.0,N/A_before,attacker_before,1786410503.9133189,low_entropy
no,3,71.38042027751605,0.5339112418357431,miss,0.0,N/A_before,attacker_before,1786410504.128015,low_entropy
no,5,73.20084138773382,2.0311980412519977,miss,0.0,N/A_before,attacker_before,1786410504.4948406,low_entropy
no,10,71.3730463758111,0.6398877232876152,miss,0.1,N/A_before,attacker_before,1786410505.209933,low_entropy
no,1,70.49337914213538,0.0,hit,1.0,True,attacker_after,1786410505.3531194,low_entropy
no,3,71.35682025303443,0.5001411912894254,miss,0.0,False,attacker_after,1786410505.5678058,low_entropy
no,5,71.3704897556454,0.4722277760555321,miss,0.0,False,attacker_after,1786410505.9254892,low_entropy
no,10,72.05747968982905,2.1741406877840284,miss,0.1,False,attacker_after,1786410506.6474576,low_entropy
803348,1,80.01544303260744,0.0,miss,0.0,N/A_before,attacker_before,1786410507.450238,structured
803348,3,70.89046039618552,0.41890607664603724,miss,0.0,N/A_before,attacker_before,1786410507.663398,structured
803348,5,71.33349762298167,0.7894140964867655,miss,0.0,N/A_before,attacker_before,1786410508.0208683,structured
803348,10,72.1169556491077,1.6418195232429003,miss,0.0,N/A_before,attacker_before,1786410508.7433696,structured
803348,1,71.11768797039986,0.0,miss,0.0,False,attacker_after,1786410508.8859844,structured
803348,3,72.04940596905847,0.9888514687540131,miss,0.0,False,attacker_after,1786410509.1027076,structured
803348,5,71.51679121889174,0.9329743751451273,miss,0.0,False,attacker_after,1786410509.461013,structured
803348,10,71.08696643263102,0.47325194860755515,miss,0.0,False,attacker_after,1786410510.1731815,structured
981457,1,80.47954202629626,0.0,miss,0.0,N/A_before,attacker_before,1786410510.992552,structured
981457,3,72.19078329702218,0.6818450919958743,miss,0.0,N/A_before,attacker_before,1786410511.209721,structured
981457,5,71.0878380574286,0.9043225148910288,miss,0.4,N/A_before,attacker_before,1786410511.5657885,structured
981457,10,70.98641667980701,0.9028696240049281,hit,0.6,N/A_before,attacker_before,1786410512.2764485,structured
981457,1,70.01644908450544,0.0,hit,1.0,True,attacker_after,1786410512.4165978,structured
981457,3,70.435972030585,0.5536297385710156,hit,0.6666666666666666,True,attacker_after,1786410512.628397,structured
981457,5,72.97552754171193,2.3373239713502367,miss,0.0,False,attacker_after,1786410512.9940844,structured
981457,10,71.13654431886971,0.4073323007552143,miss,0.1,False,attacker_after,1786410513.706907,structured
069959,1,79.91745788604021,0.0,miss,0.0,N/A_before,attacker_before,1786410514.5093555,structured
069959,3,71.31906567762296,0.6871662185277619,miss,0.0,N/A_before,attacker_before,1786410514.723855,structured
069959,5,73.51673771627247,2.4581482900411076,miss,0.0,N/A_before,attacker_before,1786410515.0922198,structured
